County,,,Monthly Media Reach,Monthly Apps Submitted,Online Application Rate
Anderson,,,39201,178,2%
Andrews,,,1352,26,0%
Angelina,,,39201,178,2%
Aransas,,,19609,28,0%
Archer,,,64242,36,26%
Armstrong,,,68096,31,12%
Atascosa,,,21366,4634,35%
Austin,,,15251,1468,79%
Bailey,,,2533,332,82%
Bandera,,,21366,4634,35%
Bastrop,,,2479,147,14%
Bee,,,19609,28,0%
Bell,,,2479,147,14%
Bexar,,,21366,4634,35%
Blanco,,,2479,147,14%
Borden,,,1352,26,0%
Bosque,,,1096,256,94%
Bowie,,,39201,178,2%
Brazoria,,,15251,1468,79%
Brazos,,,5929,24,3%
Brewster,,,1352,26,0%
Briscoe,,,68096,31,12%
Brooks,,,19609,28,0%
Brown,,,832,18,1%
Burleson,,,5929,24,3%
Burnet,,,2479,147,14%
Caldwell,,,2479,147,14%
Calhoun,,,315,20,0%
Cameron,,,5820,67,3%
Camp,,,39201,178,2%
Carson,,,68096,31,12%
Cass,,,39201,178,2%
Castro,,,68096,31,12%
Chambers,,,15251,1468,79%
Cherokee,,,39201,178,2%
Clay,,,64242,36,26%
Cochran,,,2533,332,82%
Coke,,,1034,8,0%
Coleman,,,832,18,1%
Collin,,,0,1271,90%
Collingsworth,,,68096,31,12%
Colorado,,,315,20,0%
Comal,,,21366,4634,35%
Comanche,,,832,18,1%
Concho,,,1034,8,0%
Cooke,,,1096,256,94%
Coryell,,,2479,147,14%
Crane,,,1352,26,0%
Crockett,,,1034,8,0%
Crosby,,,2533,332,82%
Culberson,,,5756,69,42%
Dallam,,,68096,31,12%
Dallas,,,0,1271,90%
Dawson,,,,,
Deaf Smith,,,68096,31,12%
Delta,,,0,1271,90%
Denton,,,,,
DeWitt,,,315,20,0%
Dickens,,,2533,332,82%
Dimmit,,,9803,269,41%
Donley,,,68096,31,12%
Duval,,,19609,28,0%
Eastland,,,832,18,1%
Ector,,,1352,26,0%
Edwards,,,21366,4634,35%
Ellis,,,0,1271,90%
El Paso,,,5756,69,42%
Erath,,,1096,256,94%
Falls,,,2479,147,14%
Fannin,,,0,1271,90%
Fayette,,,2479,147,14%
Fisher,,,832,18,1%
Floyd,,,2533,332,82%
Foard,,,64242,36,26%
Fort Bend,,,15251,1468,79%
Franklin,,,39201,178,2%
Freestone,,,2479,147,14%
Frio,,,21366,4634,35%
Gaines,,,2533,332,82%
Galveston,,,,,
Garza,,,2533,332,82%
Gillespie,,,2479,147,14%
Glasscock,,,1352,26,0%
Goliad,,,315,20,0%
Gonzales,,,315,20,0%
Gray,,,68096,31,12%
Grayson,,,0,1271,90%
Gregg,,,39201,178,2%
Grimes,,,5929,24,3%
Guadalupe,,,21366,4634,35%
Hale,,,,,
Hall,,,68096,31,12%
Hamilton,,,1096,256,94%
Hansford,,,68096,31,12%
Hardeman,,,68096,31,12%
Hardin,,,23074,31,16%
Harris,,,15251,1468,79%
Harrison,,,39201,178,2%
Hartley,,,68096,31,12%
Haskell,,,64242,36,26%
Hays,,,2479,147,14%
Hemphill,,,68096,31,12%
Henderson,,,39201,178,2%
Hidalgo,,,5820,67,3%
Hill,,,1096,256,94%
Hockley,,,2533,332,82%
Hood,,,1096,256,94%
Hopkins,,,0,1271,90%
Houston,,,39201,178,2%
Howard,,,1352,26,0%
Hudspeth,,,5756,69,42%
Hunt,,,0,1271,90%
Hutchinson,,,68096,31,12%
Irion,,,1034,8,0%
Jack,,,64242,36,26%
Jackson,,,315,20,0%
Jasper,,,23074,31,16%
Jeff Davis,,,1352,26,0%
Jefferson,,,23074,31,16%
Jim Hogg,,,9803,269,41%
Jim Wells,,,19609,28,0%
Johnson,,,1096,256,94%
Jones,,,832,18,1%
Karnes,,,21366,4634,35%
Kaufman,,,0,1271,90%
Kendall,,,21366,4634,35%
Kenedy,,,19609,28,0%
Kent,,,2533,332,82%
Kerr,,,21366,4634,35%
Kimble,,,1034,8,0%
King,,,2533,332,82%
Kinney,,,9803,269,41%
Kleberg,,,19609,28,0%
Knox,,,64242,36,26%
Lamar,,,0,1271,90%
Lamb,,,2533,332,82%
Lampasas,,,2479,147,14%
La Salle,,,21366,4634,35%
Lavaca,,,315,20,0%
Lee,,,2479,147,14%
Leon,,,39201,178,2%
Liberty,,,15251,1468,79%
Limestone,,,2479,147,14%
Lipscomb,,,68096,31,12%
Live Oak,,,19609,28,0%
Llano,,,2479,147,14%
Loving,,,1352,26,0%
Lubbock,,,2533,332,82%
Lynn,,,2533,332,82%
Madison,,,5929,24,3%
Marion,,,39201,178,2%
Martin,,,1352,26,0%
Mason,,,1034,8,0%
Matagorda,,,315,20,0%
Maverick,,,9803,269,41%
McCulloch,,,1034,8,0%
McLennan,,,2479,147,14%
McMullen,,,19609,28,0%
Medina,,,21366,4634,35%
Menard,,,1034,8,0%
Midland,,,1352,26,0%
Milam,,,2479,147,14%
Mills,,,2479,147,14%
Mitchell,,,832,18,1%
Montague,,,64242,36,26%
Montgomery,,,,,
Moore,,,68096,31,12%
Morris,,,39201,178,2%
Motley,,,2533,332,82%
Nacogdoches,,,39201,178,2%
Navarro,,,0,1271,90%
Newton,,,23074,31,16%
Nolan,,,832,18,1%
Nueces,,,19609,28,0%
Ochiltree,,,68096,31,12%
Oldham,,,68096,31,12%
Orange,,,23074,31,16%
Palo Pinto,,,1096,256,94%
Panola,,,39201,178,2%
Parker,,,1096,256,94%
Parmer,,,68096,31,12%
Pecos,,,1352,26,0%
Polk,,,23074,31,16%
Potter,,,68096,31,12%
Presidio,,,1352,26,0%
Rains,,,39201,178,2%
Randall,,,68096,31,12%
Reagan,,,1034,8,0%
Real,,,21366,4634,35%
Red River,,,39201,178,2%
Reeves,,,1352,26,0%
Refugio,,,315,20,0%
Roberts,,,68096,31,12%
Robertson,,,5929,24,3%
Rockwall,,,0,1271,90%
Runnels,,,832,18,1%
Rusk,,,39201,178,2%
Sabine,,,23074,31,16%
San Augustine,,,39201,178,2%
San Jacinto,,,15251,1468,79%
San Patricio,,,19609,28,0%
San Saba,,,2479,147,14%
Schleicher,,,1034,8,0%
Scurry,,,2533,332,82%
Shackelford,,,832,18,1%
Shelby,,,39201,178,2%
Sherman,,,68096,31,12%
Smith,,,39201,178,2%
Somervell,,,1096,256,94%
Starr,,,9803,269,41%
Stephens,,,832,18,1%
Sterling,,,1034,8,0%
Stonewall,,,2533,332,82%
Sutton,,,1034,8,0%
Swisher,,,68096,31,12%
Tarrant,,,1096,256,94%
Taylor,,,832,18,1%
Terrell,,,1352,26,0%
Terry,,,2533,332,82%
Throckmorton,,,64242,36,26%
Titus,,,39201,178,2%
Tom Green,,,1034,8,0%
Travis,,,2479,147,14%
Trinity,,,15251,1468,79%
Tyler,,,23074,31,16%
Upshur,,,39201,178,2%
Upton,,,1352,26,0%
Uvalde,,,21366,4634,35%
Val Verde,,,9803,269,41%
Van Zandt,,,39201,178,2%
Victoria,,,315,20,0%
Walker,,,15251,1468,79%
Waller,,,15251,1468,79%
Ward,,,1352,26,0%
Washington,,,5929,24,3%
Webb,,,9803,269,41%
Wharton,,,315,20,0%
Wheeler,,,68096,31,12%
Wichita,,,64242,36,26%
Wilbarger,,,64242,36,26%
Willacy,,,5820,67,3%
Williamson,,,2479,147,14%
Wilson,,,21366,4634,35%
Winkler,,,1352,26,0%
Wise,,,1096,256,94%
Wood,,,39201,178,2%
Yoakum,,,2533,332,82%
Young,,,64242,36,26%
Zapata,,,9803,269,41%
Zavala,,,21366,4634,35%
